 autoOut                                                               
 SPECIES       Hf       S    Cp 300     400     500     600     800     1000     1500     DATE        ELEMENTS
 C15H32O_1 -123.58   184.93    87.76  111.91  133.19  150.50  176.95  196.21  225.81   5/21/16 THERM   C  15 H  32 O   1     0 G15
 C15H31O_1  -70.76   183.22    88.28  111.31  132.08  148.94  174.82  193.60  222.53   5/21/16 THERM   C  15 H  31 O   1     0 G14
 ROOH_1    -107.28   192.58    92.37  117.34  139.07  156.65  182.96  202.37     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_1      -74.11   192.10    91.20  115.56  136.79  153.91  179.71  198.69     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_2    -113.73   189.40    93.47  117.94  139.25  156.63  183.22  202.82     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_2      -80.56   188.93    92.30  116.16  136.97  153.89  179.97  199.14     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_3    -111.31   189.31    93.06  118.09  139.71  157.14  183.10  202.19     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_3      -78.14   188.84    91.89  116.31  137.43  154.40  179.85  198.51     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_4    -111.31   189.31    93.06  118.09  139.71  157.14  183.10  202.19     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_4      -78.14   188.84    91.89  116.31  137.43  154.40  179.85  198.51     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_5    -111.31   189.31    93.06  118.09  139.71  157.14  183.10  202.19     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_5      -78.14   188.84    91.89  116.31  137.43  154.40  179.85  198.51     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_6    -113.73   189.40    93.47  117.94  139.25  156.63  183.22  202.82     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_6      -80.56   188.93    92.30  116.16  136.97  153.89  179.97  199.14     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
