THERMO                                                                          
   300.000  1500.000  5000.000                                                  
c9h20_26          0529  C   9H  20    0    0G   300.000  5000.000 1399.000     1
 2.94805189E+01 4.29137314E-02-1.46217627E-05 2.26391473E-09-1.31088859E-13    2
-4.40215750E+04-1.30348623E+02-3.77710101E+00 1.23125684E-01-8.99456933E-05    3
 3.49974686E-08-5.65574432E-12-3.26670518E+04 4.74634495E+01                   4
c9h19_26_a        0529  C   9H  19    0    0G   300.000  5000.000 1399.000     1
 2.88591252E+01 4.09889116E-02-1.39782547E-05 2.16554600E-09-1.25443602E-13    2
-1.88913138E+04-1.22836741E+02-3.38731385E+00 1.19507464E-01-8.86482425E-05    3
 3.50852926E-08-5.76286074E-12-7.94857865E+03 4.93179967E+01                   4
c9h19_26_b        0529  C   9H  19    0    0G   300.000  5000.000 1395.000     1
 2.71119529E+01 4.25513306E-02-1.45354778E-05 2.25449900E-09-1.30705205E-13    2
-2.10549313E+04-1.13223971E+02-1.86923292E+00 1.05659441E-01-6.59132010E-05    3
 2.08604713E-08-2.66089550E-12-1.04812981E+04 4.41328876E+01                   4
c9h19_26_c        0529  C   9H  19    0    0G   300.000  5000.000 1400.000     1
 2.81625228E+01 4.14350757E-02-1.41014680E-05 2.18170044E-09-1.26263364E-13    2
-2.02952527E+04-1.19291591E+02-2.88797172E+00 1.13597668E-01-7.83258106E-05    3
 2.82670524E-08-4.20667599E-12-9.46331956E+03 4.76169091E+01                   4
c9h19_26_d        0529  C   9H  19    0    0G   300.000  5000.000 1400.000     1
 2.81625228E+01 4.14350757E-02-1.41014680E-05 2.18170044E-09-1.26263364E-13    2
-2.02952527E+04-1.19291591E+02-2.88797172E+00 1.13597668E-01-7.83258106E-05    3
 2.82670524E-08-4.20667599E-12-9.46331956E+03 4.76169091E+01                   4
c9h18_1_26        0529  C   9H  18    0    0G   300.000  5000.000 1397.000     1
 2.76729706E+01 3.98294104E-02-1.35702418E-05 2.10114604E-09-1.21668901E-13    2
-2.89381068E+04-1.18656722E+02-2.94636610E+00 1.12358765E-01-8.00681266E-05    3
 3.02106824E-08-4.73318053E-12-1.83624352E+04 4.55015934E+01                   4
c9h18_2_26        0529  C   9H  18    0    0G   300.000  5000.000 1395.000     1
 2.72849299E+01 4.00966832E-02-1.36499722E-05 2.11239616E-09-1.22278796E-13    2
-3.01615560E+04-1.17151657E+02-2.16116248E+00 1.07620287E-01-7.29201334E-05    3
 2.58912718E-08-3.80872178E-12-1.97696218E+04 4.15049733E+01                   4
c9h18_3_26        0529  C   9H  18    0    0G   300.000  5000.000 1396.000     1
 2.71847213E+01 4.03145289E-02-1.37530059E-05 2.13126834E-09-1.23486959E-13    2
-2.96113398E+04-1.17362655E+02-3.03229501E+00 1.10625966E-01-7.67959234E-05    3
 2.81230503E-08-4.28122925E-12-1.90397024E+04 4.51016183E+01                   4
c9h17_1_1_26      0529  C   9H  17    0    0G   300.000  5000.000 1394.000     1
 2.76359452E+01 3.79297030E-02-1.30510711E-05 2.03425921E-09-1.18346145E-13    2
-1.21460961E+04-1.20025858E+02-3.40549999E+00 1.11093782E-01-7.99550829E-05    3
 3.03420833E-08-4.78485703E-12-1.36129379E+03 4.65711611E+01                   4
c9h19o_1_26       0529  C   9H  19O   1    0G   300.000  5000.000 1400.000     1
 3.22087889E+01 4.07090640E-02-1.38888447E-05 2.15259662E-09-1.24738691E-13    2
-3.64449748E+04-1.40100561E+02-1.81935747E+00 1.21529040E-01-8.75934123E-05    3
 3.28558784E-08-5.04689237E-12-2.47869620E+04 4.21335515E+01                   4
c9h19o_2_26       0529  C   9H  19O   1    0G   300.000  5000.000 1388.000     1
 3.21881793E+01 4.15623001E-02-1.43670975E-05 2.24632667E-09-1.30965788E-13    2
-3.98496324E+04-1.41937722E+02 1.17555615E+00 1.09689085E-01-7.12372498E-05    3
 2.38863558E-08-3.32406005E-12-2.85273395E+04 2.63533144E+01                   4
c9h19o_3_26       0529  C   9H  19O   1    0G   300.000  5000.000 1405.000     1
 3.21164625E+01 4.03350017E-02-1.36597222E-05 2.10640552E-09-1.21627062E-13    2
-3.81791804E+04-1.40628939E+02-1.67512878E+00 1.23470997E-01-9.27370069E-05    3
 3.65836518E-08-5.90495898E-12-2.69059793E+04 3.92895137E+01                   4
c9h19o_4_26       0529  C   9H  19O   1    0G   300.000  5000.000 1405.000     1
 3.21164625E+01 4.03350017E-02-1.36597222E-05 2.10640552E-09-1.21627062E-13    2
-3.81791804E+04-1.40628939E+02-1.67512878E+00 1.23470997E-01-9.27370069E-05    3
 3.65836518E-08-5.90495898E-12-2.69059793E+04 3.92895137E+01                   4
c9h19ooh_1_26     0529  C   9H  20O   2    0G   300.000  5000.000 1399.000     1
 3.54200592E+01 4.25031933E-02-1.45667321E-05 2.26441357E-09-1.31487962E-13    2
-5.61710569E+04-1.54892762E+02-4.98168348E+00 1.47251693E-01-1.21474659E-04    3
 5.27915846E-08-9.33377027E-12-4.31049070E+04 5.85308761E+01                   4
c9h19oo_1_26      0529  C   9H  19O   2    0G   300.000  5000.000 1399.000     1
 3.44057328E+01 4.12148721E-02-1.41160212E-05 2.19336779E-09-1.27321987E-13    2
-3.89162381E+04-1.48552182E+02-4.04711235E+00 1.40583469E-01-1.15214951E-04    3
 4.98500086E-08-8.78971718E-12-2.64434077E+04 5.46993166E+01                   4
c9h19ooh_2_26     0529  C   9H  20O   2    0G   300.000  5000.000 1394.000     1
 3.54294793E+01 4.28495952E-02-1.47652330E-05 2.30367360E-09-1.34110244E-13    2
-5.94889414E+04-1.56659619E+02-1.71378101E+00 1.33449449E-01-1.01449113E-04    3
 4.09220134E-08-6.83881099E-12-4.68665108E+04 4.16413182E+01                   4
c9h19oo_2_26      0529  C   9H  19O   2    0G   300.000  5000.000 1394.000     1
 3.44447606E+01 4.15643366E-02-1.43218079E-05 2.23441289E-09-1.30074389E-13    2
-4.22532801E+04-1.50508294E+02-8.66340862E-01 1.27206980E-01-9.58052478E-05    3
 3.83665669E-08-6.38249062E-12-3.01932375E+04 3.82033915E+01                   4
c9h19ooh_3_26     0529  C   9H  20O   2    0G   300.000  5000.000 1402.000     1
 3.54486394E+01 4.20652640E-02-1.43236085E-05 2.21683151E-09-1.28326238E-13    2
-5.79565104E+04-1.56129768E+02-4.67520254E+00 1.48566402E-01-1.25443548E-04    3
 5.56770620E-08-9.98890744E-12-4.52532303E+04 5.49042331E+01                   4
c9h19oo_3_26      0529  C   9H  19O   2    0G   300.000  5000.000 1402.000     1
 3.44437133E+01 4.07693027E-02-1.38703858E-05 2.14541017E-09-1.24139176E-13    2
-4.07053264E+04-1.49843231E+02-3.75870974E+00 1.41995849E-01-1.19328721E-04    3
 5.28234666E-08-9.46396101E-12-2.85895669E+04 5.11522560E+01                   4
c9h19ooh_4_26     0529  C   9H  20O   2    0G   300.000  5000.000 1402.000     1
 3.54486394E+01 4.20652640E-02-1.43236085E-05 2.21683151E-09-1.28326238E-13    2
